sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,SampleName,Extract,Amp,Treatment,Rep,Sample,C42g/C42a-C42.2-C1-C1b-C42b-C42h,D1
HP401,HP401_S1_L001_R1_001.fastq.gz,HP401_S1_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E9,DNARNAZymo,ITS2,Enriched,1,HP401,19672,0
HP402,HP402_S6_L001_R1_001.fastq.gz,HP402_S6_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E11,DNARNAZymo,ITS2,Enriched,2,HP402,19244,0
HP403,HP403_S11_L001_R1_001.fastq.gz,HP403_S11_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C31,DNARNAZymo,ITS2,Control,1,HP403,21178,0
HP404,HP404_S15_L001_R1_001.fastq.gz,HP404_S15_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C30,DNARNAZymo,ITS2,Control,2,HP404,17289,0
HP405,HP405_S19_L001_R1_001.fastq.gz,HP405_S19_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E4,DNARNAZymo,ITS2,Enriched,3,HP405,16260,0
HP406,HP406_S23_L001_R1_001.fastq.gz,HP406_S23_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C25,DNARNAZymo,ITS2,Control,3,HP406,10023,315
HP407,HP407_S27_L001_R1_001.fastq.gz,HP407_S27_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C32,DNARNAZymo,ITS2,Control,4,HP407,23413,0
HP408,HP408_S31_L001_R1_001.fastq.gz,HP408_S31_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E6,DNARNAZymo,ITS2,Enriched,4,HP408,20878,0
HP409,HP409_S2_L001_R1_001.fastq.gz,HP409_S2_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C29,DNARNAZymo,ITS2,Control,5,HP409,18585,0
HP410,HP410_S7_L001_R1_001.fastq.gz,HP410_S7_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E1,DNARNAZymo,ITS2,Enriched,5,HP410,19960,0
HP411,HP411_S12_L001_R1_001.fastq.gz,HP411_S12_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E3,DNARNAZymo,ITS2,Enriched,6,HP411,23158,0
HP412,HP412_S16_L001_R1_001.fastq.gz,HP412_S16_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E16,DNARNAZymo,ITS2,Enriched,7,HP412,13637,0
HP413,HP413_S20_L001_R1_001.fastq.gz,HP413_S20_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E8,DNARNAZymo,ITS2,Enriched,8,HP413,16134,0
HP414,HP414_S24_L001_R1_001.fastq.gz,HP414_S24_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E15,DNARNAZymo,ITS2,Enriched,9,HP414,16472,0
HP415,HP415_S28_L001_R1_001.fastq.gz,HP415_S28_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C21,DNARNAZymo,ITS2,Control,6,HP415,20418,0
HP416,HP416_S32_L001_R1_001.fastq.gz,HP416_S32_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C22,DNARNAZymo,ITS2,Control,7,HP416,17554,0
HP417,HP417_S3_L001_R1_001.fastq.gz,HP417_S3_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E14,DNARNAZymo,ITS2,Enriched,10,HP417,20469,0
HP418,HP418_S8_L001_R1_001.fastq.gz,HP418_S8_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E10,DNARNAZymo,ITS2,Enriched,11,HP418,25090,0
HP419,HP419_S13_L001_R1_001.fastq.gz,HP419_S13_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C17,DNARNAZymo,ITS2,Control,8,HP419,25355,0
HP420,HP420_S17_L001_R1_001.fastq.gz,HP420_S17_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E2,DNARNAZymo,ITS2,Enriched,12,HP420,19313,0
HP421,HP421_S21_L001_R1_001.fastq.gz,HP421_S21_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C18,DNARNAZymo,ITS2,Control,9,HP421,22013,0
HP422,HP422_S25_L001_R1_001.fastq.gz,HP422_S25_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C19,DNARNAZymo,ITS2,Control,10,HP422,19684,0
HP423,HP423_S29_L001_R1_001.fastq.gz,HP423_S29_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E5,DNARNAZymo,ITS2,Enriched,13,HP423,19781,0
HP424,HP424_S33_L001_R1_001.fastq.gz,HP424_S33_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E13,DNARNAZymo,ITS2,Enriched,14,HP424,20482,0
HP425,HP425_S4_L001_R1_001.fastq.gz,HP425_S4_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E7,DNARNAZymo,ITS2,Enriched,15,HP425,19539,0
HP426,HP426_S9_L001_R1_001.fastq.gz,HP426_S9_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,E12,DNARNAZymo,ITS2,Enriched,16,HP426,12014,0
HP427,HP427_S14_L001_R1_001.fastq.gz,HP427_S14_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C27,DNARNAZymo,ITS2,Control,11,HP427,4337,0
HP428,HP428_S18_L001_R1_001.fastq.gz,HP428_S18_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C24,DNARNAZymo,ITS2,Control,12,HP428,12904,0
HP429,HP429_S22_L001_R1_001.fastq.gz,HP429_S22_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C23,DNARNAZymo,ITS2,Control,13,HP429,11870,0
HP430,HP430_S26_L001_R1_001.fastq.gz,HP430_S26_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C20,DNARNAZymo,ITS2,Control,14,HP430,14472,0
HP431,HP431_S30_L001_R1_001.fastq.gz,HP431_S30_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C28,DNARNAZymo,ITS2,Control,15,HP431,18620,0
HP432,HP432_S34_L001_R1_001.fastq.gz,HP432_S34_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,sp,-17.477524,-149.850382,20190115,30,C26,DNARNAZymo,ITS2,Control,16,HP432,17019,0