fragment.ID,treatment,surf.area.cm2,volume,block,chl.ugcm2,chlA.ug.sample
PV3_D,enriched,50.86,590,1,1.363743438,1.385563333
PV6_D,enriched,88.69,620,2,0.559733783,0.456166667
PV8_D,enriched,89.16,610,2,0.344302262,0.417243333
PV11_D,enriched,85.88,610,3,1.48062872,1.495356667
PV21_D,control,104.12,620,6,1.661026261,1.756996667
PV29_D,control,105.04,600,8,0.286292138,0.374936667
PV30_D,control,77.26,620,8,0.893279254,0.37493667
PV32_D,control,85.83,600,8,0.427049174,0.752066667
BLANK1_D,BLANK,,650,,,
BLANK2_D,BLANK,,650,,,
PV3_L,enriched,104.37,625,1,1.363743438,1.385563333
PV6_L,enriched,67.31,630,2,0.559733783,0.456166667
PV8_L,enriched,93.58,610,2,0.344302262,0.417243333
PV11_L,enriched,62.54,595,3,1.48062872,1.495356667
PV21_L,control,90.15,580,6,1.661026261,1.756996667
PV29_L,control,88.91,615,8,0.286292138,0.374936667
PV30_L,control,60.07,610,8,0.893279254,0.37493667
PV32_L,control,70.07,570,8,0.427049174,0.752066667
BLANK1_L,BLANK,,650,,,
BLANK2_L,BLANK,,650,,,
PV1_D,enriched,72.49,590,1,1.289085072,1.522943333
PV2_D,enriched,89.68,560,1,1.973041625,1.748553333
PV7_D,enriched,40.74,625,2,0.777062914,0.782243333
PV13_D,enriched,53.73,600,4,2.121497161,1.888733333
PV17_D,control,93.9,610,5,0.558705643,0.762736667
PV19_D,control,93.04,610,5,1.828595376,1.757483333
PV23_D,control,116.12,610,6,1.131603404,1.526686667
PV25_D,control,64.52,610,7,1.462466532,2.2658
BLANK3_D,BLANK,,650,,,
BLANK4_D,BLANK,,650,,,
PV1_L,enriched,92.81,600,1,1.289085072,1.522943333
PV2_L,enriched,70.27,605,1,1.973041625,1.748553333
PV7_L,enriched,57.19,620,2,0.777062914,0.782243333
PV13_L,enriched,58.62,620,4,2.121497161,1.888733333
PV17_L,control,94.2,625,5,0.558705643,0.762736667
PV19_L,control,83.26,620,5,1.828595376,1.757483333
PV23_L,control,68.05,615,6,1.131603404,1.526686667
PV25_L,control,67.38,605,7,1.462466532,2.2658
BLANK3_L,BLANK,,650,,,
BLANK4_L,BLANK,,650,,,
PV4_D,enriched,58.84,605,1,2.487501168,2.103013333
PV5_D,enriched,44.32,610,2,1.297819663,1.073633333
PV9_D,enriched,71.14,620,3,2.693972533,1.881656667
PV10_D,enriched,86.17,615,3,2.162370107,2.250466667
PV18_D,control,102.05,625,5,1.070591979,1.36441
PV20_D,control,69.73,610,5,1.034174348,1.00365
PV22_D,control,82.12,570,6,1.751621862,1.8609
PV24_D,control,57.14,610,6,1.911890625,2.175306667
BLANK5_D,BLANK,,650,,,
BLANK6_D,BLANK,,650,,,
PV4_L,enriched,89.19,610,1,2.487501168,2.103013333
PV5_L,enriched,60.59,585,2,1.297819663,1.073633333
PV9_L,enriched,59.9,610,3,2.693972533,1.881656667
PV10_L,enriched,65.63,620,3,2.162370107,2.250466667
PV18_L,control,98.99,595,5,1.070591979,1.36441
PV20_L,control,69.21,615,5,1.034174348,1.00365
PV22_L,control,69.65,620,6,1.751621862,1.8609
PV24_L,control,80.86,590,6,1.911890625,2.175306667
BLANK5_L,BLANK,,650,,,
BLANK6_L,BLANK,,650,,,
PV12_D,enriched,52.37,610,3,1.798010682,1.927713333
PV14_D,enriched,91.23,570,4,1.131342037,1.377946667
PV15_D,enriched,105.7,605,4,0.571370729,0.699823333
PV16_D,enriched,68.89,610,4,2.710425685,2.379033333
PV26_D,control,48.25,620,7,0.760828098,0.771423333
PV27_D,control,99.83,605,7,0.489498702,0.47485
PV28_D,control,81.43,620,7,1.437701613,1.78275
PV31_D,control,52.35,600,8,0.218633751,0.277613333
BLANK7_D,BLANK,,650,,,
BLANK8_D,BLANK,,650,,,
PV12_L,enriched,56.64,620,3,1.798010682,1.927713333
PV14_L,enriched,80.57,595,4,1.131342037,1.377946667
PV15_L,enriched,71.58,635,4,0.571370729,0.699823333
PV16_L,enriched,102.72,610,4,2.710425685,2.379033333
PV26_L,control,52.77,600,7,0.760828098,0.771423333
PV27_L,control,51.16,625,7,0.489498702,0.47485
PV28_L,control,54.96,630,7,1.437701613,1.78275
PV31_L,control,74.64,620,8,0.218633751,0.277613333
BLANK7_L,BLANK,,650,,,
BLANK8_L,BLANK,,650,,,