fragment.ID,treatment,block
PV1_D,enriched,1
PV1_L,enriched,1
PV10_D,enriched,3
PV10_L,enriched,3
PV11_D,enriched,3
PV11_L,enriched,3
PV12_D,enriched,3
PV12_L,enriched,3
PV13_D,enriched,4
PV13_L,enriched,4
PV14_D,enriched,4
PV14_L,enriched,4
PV15_D,enriched,4
PV15_L,enriched,4
PV16_D,enriched,4
PV16_L,enriched,4
PV17_D,control,5
PV17_L,control,5
PV18_D,control,5
PV18_L,control,5
PV19_D,control,5
PV19_L,control,5
PV2_D,enriched,1
PV2_L,enriched,1
PV20_D,control,5
PV20_L,control,5
PV21_D,control,6
PV21_L,control,6
PV22_D,control,6
PV22_L,control,6
PV23_D,control,6
PV23_L,control,6
PV24_D,control,6
PV24_L,control,6
PV25_D,control,7
PV25_L,control,7
PV26_D,control,7
PV26_L,control,7
PV27_D,control,7
PV27_L,control,7
PV28_D,control,7
PV28_L,control,7
PV29_D,control,8
PV29_L,control,8
PV3_D,enriched,1
PV3_L,enriched,1
PV30_D,control,8
PV30_L,control,8
PV31_D,control,8
PV31_L,control,8
PV32_D,control,8
PV32_L,control,8
PV4_D,enriched,1
PV4_L,enriched,1
PV5_D,enriched,2
PV5_L,enriched,2
PV6_D,enriched,2
PV6_L,enriched,2
PV7_D,enriched,2
PV7_L,enriched,2
PV8_D,enriched,2
PV8_L,enriched,2
PV9_D,enriched,3
PV9_L,enriched,3